YEAR,NAME,TEAM,IP,pLI,playerid
2012,Fernando Rodney,Rays,74.2,1.81,494
2014,Wade Davis,Royals,58.1,1.65,7441
2014,Pat Neshek,Cardinals,55.1,1.29,4682
2014,Darren O'Day,Orioles,58.2,1.61,3321
2011,Eric O'Flaherty,Braves,73.2,1.55,5746
2012,Craig Kimbrel,Braves,62.2,1.76,6655
2011,David Robertson,Yankees,66.2,1.68,8241
2013,Koji Uehara,Red Sox,74.1,1.32,9227
2013,Neal Cotts,Rangers,57,1.31,1797
2013,Craig Kimbrel,Braves,67,2.01,6655
2013,Greg Holland,Royals,67,2.07,7196
2014,Jake McGee,Rays,62,1.63,7550
2011,Scott Downs,Angels,53.2,1.95,773
2013,Joe Nathan,Rangers,64.2,2,1122
2013,Mark Melancon,Pirates,71,1.85,4264
2011,Mike Adams,- - -,73.2,1.32,1937
2014,Kelvin Herrera,Royals,55,1.11,6033
2012,Aroldis Chapman,Reds,71.2,1.76,10233
2014,Dellin Betances,Yankees,77,1.26,6216
2013,Luis Avilan,Braves,65,1.25,2882
2014,Joaquin Benoit,Padres,51.1,1.61,1437
2012,Scott Atchison,Red Sox,51.1,0.67,2642
2014,Fernando Abad,Athletics,51.1,0.94,4994
2014,Jonathan Papelbon,Phillies,56.1,2.18,5975
2014,Jean Machi,Giants,56.1,1.07,3220
2013,Alex Torres,Rays,58,0.89,7038
2012,Eric O'Flaherty,Braves,57.1,1.68,5746
2014,Craig Kimbrel,Braves,52,2.33,6655
2014,Tony Watson,Pirates,62.1,1.75,3132
2013,Rex Brothers,Rockies,67.1,1.73,9794
2011,Santiago Casilla,Giants,51.2,1.02,2873
2014,Cody Allen,Indians,56.2,1.87,12183
2014,Greg Holland,Royals,51.1,1.85,7196
2014,Bryan Morris,- - -,61.1,1.41,10234
2013,David Carpenter,Braves,65.2,0.85,3959
2012,Sergio Romo,Giants,55.1,1.47,9817
2011,Greg Holland,Royals,60,1.41,7196
2013,Craig Breslow,Red Sox,59.2,1.15,4363
2011,Tyler Clippard,Nationals,88.1,1.52,5640
2011,Joel Hanrahan,Pirates,68.2,1.94,2186
2011,Jonny Venters,Braves,88,1.79,7175
2013,Kenley Jansen,Dodgers,76.2,1.56,3096
2013,Tanner Scheppers,Rangers,76.2,1.42,10267
2014,Tyler Clippard,Nationals,57.1,1.62,5640
2011,Mariano Rivera,Yankees,61.1,2.19,844
2013,Luke Hochevar,Royals,70.1,0.73,6943
2014,Jeurys Familia,Mets,65.1,1.46,5114
2014,Oliver Perez,Diamondbacks,51.1,1.04,1514
2012,Jake McGee,Rays,55.1,1.28,7550
2011,John Axford,Brewers,73.2,1.87,9059
2014,Jared Hughes,Pirates,55,1.11,9325
2014,Zach Britton,Orioles,63.2,1.66,3240
2014,A.J. Ramos,Marlins,54.1,1.52,8350
2014,Tom Wilhelmsen,Mariners,67.1,0.85,9975
2013,Joaquin Benoit,Tigers,67,1.71,1437
2011,Joe Smith,Indians,67,1.05,3281
2011,Alfredo Aceves,Red Sox,93,0.96,5164
2013,David Robertson,Yankees,66.1,1.66,8241
2014,Brad Boxberger,Rays,57,1.27,10133
2011,Mike MacDougal,Dodgers,57,1.14,612
2012,Darren Oliver,Blue Jays,56.2,1.27,206
2013,Justin Wilson,Pirates,73.2,1.16,4301
2012,Ryan Cook,Athletics,73.1,1.67,8855
2011,Luis Ayala,Yankees,56,0.81,1650
2014,Andrew Miller,- - -,51.2,1.35,6785
2014,Kevin Jepsen,Angels,55.2,1.15,6475
2011,Craig Kimbrel,Braves,77,1.89,6655
2013,Mariano Rivera,Yankees,64,1.93,844
2014,Mark Melancon,Pirates,55.1,1.83,4264
2014,Dale Thayer,Padres,55,0.91,5032
2011,Brad Ziegler,- - -,58.1,0.91,7293
2014,Joe Smith,Angels,62.1,1.54,3281
2012,Wilton Lopez,Astros,66.1,1.56,4227
2011,J.J. Putz,Diamondbacks,58,2.05,1795
2013,Darren O'Day,Orioles,62,1.39,3321
2013,J.P. Howell,Dodgers,62,0.81,8245
2012,Jared Burton,Twins,62,1.36,8346
2011,Kyle Farnsworth,Rays,57.2,1.48,278
2014,Fernando Rodney,Mariners,53.1,2.04,494
2014,Dan Otero,Athletics,73.1,1.2,7385
2012,Mitchell Boggs,Cardinals,73.1,1.36,3344
2012,Robbie Ross,Rangers,65,0.92,6819
2013,Brad Ziegler,Diamondbacks,73,1.76,7293
2011,Jose Valverde,Tigers,72.1,1.76,1726
2014,Koji Uehara,Red Sox,60,1.92,9227
2011,Jason Motte,Cardinals,68,1.35,5861
2011,Sean Marshall,Cubs,75.2,1.63,5905
2012,Rafael Soriano,Yankees,67.2,1.89,1100
2011,Casey Janssen,Blue Jays,55.2,0.96,7355
2014,Sean Doolittle,Athletics,55.1,1.52,1581
2011,Fernando Salas,Cardinals,75,1.61,4971
2012,Darren O'Day,Orioles,67,1.13,3321
2013,Joe Smith,Indians,63,1.52,3281
2011,Darren Oliver,Rangers,51,1.46,206
2013,Glen Perkins,Twins,62.2,1.71,8041
2014,Pedro Strop,Cubs,50.2,1.61,4070
2014,Carlos Villanueva,Cubs,50.2,0.89,4138
2012,Ernesto Frieri,- - -,66,1.43,5178
2013,Paco Rodriguez,Dodgers,54.1,1.43,13398
2013,Seth Maness,Cardinals,62,1.19,12235
2011,Vinnie Pestano,Indians,62,1.57,4782
2013,Steve Cishek,Marlins,69.2,1.7,6483
2012,Craig Stammen,Nationals,88.1,0.98,7274
2012,Kelvin Herrera,Royals,84.1,1.28,6033
2011,Koji Uehara,- - -,65,1.15,9227
2012,Kenley Jansen,Dodgers,65,1.64,3096
2013,Drew Smyly,Tigers,76,0.92,11760
2011,Ryan Madson,Phillies,60.2,1.92,1852
2013,Jean Machi,Giants,53,0.99,3220
2014,Dominic Leone,Mariners,56.2,0.95,13763
2012,Sean Burnett,Nationals,56.2,1.37,1886
2013,Tony Watson,Pirates,71.2,1.18,3132
2012,Luke Gregerson,Padres,71.2,1.52,4090
2012,Nate Jones,White Sox,71.2,1.04,4696
2012,Matt Albers,- - -,60.1,0.93,4300
2013,Tyler Clippard,Nationals,71,1.39,5640
2012,Troy Patton,Orioles,55.2,0.86,8368
2012,Wade Davis,Rays,70.1,0.79,7441
2013,Cody Allen,Indians,70.1,1.06,12183
2014,Rafael Soriano,Nationals,51.2,1.83,1100
2014,Luke Gregerson,Athletics,59,1.51,4090
2011,Heath Bell,Padres,62.2,2.11,2080
2014,Bryan Shaw,Indians,62.2,1.37,8110
2012,Pedro Strop,Orioles,66.1,1.68,4070
2012,Jonathan Papelbon,Phillies,70,1.74,5975
2011,Francisco Cordero,Reds,69.2,2.07,1243
2014,Danny Farquhar,Mariners,58.2,1.06,8501
2013,Aaron Loup,Blue Jays,69.1,1.09,10343
2011,Grant Balfour,Athletics,62,1.33,718
2014,Burke Badenhop,Red Sox,62,0.97,9736
2014,Brad Brach,Orioles,51,0.69,6627
2014,Zach Duke,Brewers,51,1.09,3840
2012,Jerry Blevins,Athletics,65.1,1.01,7841
2011,Glen Perkins,Twins,61.2,1.43,8041
2012,Jonathan Broxton,- - -,58,2.26,4759
2012,Kris Medlen,Braves,54.1,0.79,9417
2012,Jim Johnson,Orioles,68.2,2.07,3656
2012,Bobby Parnell,Mets,68.2,1.47,9926
2012,Brad Ziegler,Diamondbacks,68.2,0.93,7293
2012,Tom Wilhelmsen,Mariners,79.1,1.7,9975
2012,David Hernandez,Diamondbacks,68.1,1.41,4259
2012,Sean Marshall,Reds,61,1.51,5905
2012,Grant Balfour,Athletics,74.2,1.64,718
2012,Ronald Belisario,Dodgers,71,1.39,2203
2013,Sergio Romo,Giants,60.1,2.33,9817
2013,Ryan Cook,Athletics,67.1,1.63,8855
2013,Aroldis Chapman,Reds,63.2,1.67,10233
2012,Casey Janssen,Blue Jays,63.2,1.23,7355
2012,Jose Mijares,- - -,56.1,0.93,4140
2012,Glen Perkins,Twins,70.1,1.32,8041
2013,Casey Janssen,Blue Jays,52.2,1.89,7355
2012,Vinnie Pestano,Indians,70,1.76,4782
2013,Grant Balfour,Athletics,62.2,1.84,718
2014,Brandon League,Dodgers,52,1.1,3731
2013,Chad Qualls,Marlins,62,1.54,2170
2011,Jesse Crain,White Sox,65.1,1.76,4817
2011,Ramon Ramirez,Giants,68.2,0.86,7986
2011,Jeremy Affeldt,Giants,61.2,1.1,583
2013,Trevor Rosenthal,Cardinals,75.1,1.54,10745
2012,Brayan Villarreal,Tigers,54.2,0.95,5180
2011,Steve Cishek,Marlins,54.2,0.87,6483
2011,Francisco Rodriguez,- - -,71.2,1.81,1642
2011,Antonio Bastardo,Phillies,58,1.22,8844
2012,Luis Ayala,Orioles,75,1.12,1650
2013,Adam Ottavino,Rockies,78.1,0.91,1247
2012,Alfredo Simon,Reds,61,0.65,2155
2013,Sam LeCure,Reds,61,1.35,4664
2013,Mike Dunn,Marlins,67.2,1.38,9948
2011,Jim Johnson,Orioles,91,1.53,3656
2012,David Robertson,Yankees,60.2,1.5,8241
2012,Steve Cishek,Marlins,63.2,1.79,6483
2013,Brandon Kintzler,Brewers,77,1.23,9939
2013,Huston Street,Padres,56.2,1.34,8258
2013,Jim Henderson,Brewers,60,1.53,6653
2012,Craig Breslow,- - -,63.1,0.81,4363
2012,Jeremy Affeldt,Giants,63.1,1.01,583
2013,Luke Gregerson,Padres,66.1,1.66,4090
2011,Ernesto Frieri,Padres,63,0.69,5178
2012,Joel Hanrahan,Pirates,59.2,1.83,2186
2011,Javier Lopez,Giants,53,1.48,1663
2011,Neftali Feliz,Rangers,62.1,1.6,18
2011,Drew Storen,Nationals,75.1,1.82,6983
